"type","cbl","cop","cores","m","n","k","tpt"
"97","openmp",0,0,9,1024,1024,1024,2.65951022538085
"98","openmp",0,0,9,2048,2048,2048,4.49561867462922
"99","openmp",0,0,12,256,256,256,1.06486962505981
"100","openmp",0,0,12,512,512,512,1.92755512989223
"101","openmp",0,0,12,1024,1024,1024,2.64515197941415
"102","openmp",0,0,12,2048,2048,2048,4.48520680917349
"103","openmp",0,0,15,256,256,256,1.05926040412173
"104","openmp",0,0,15,512,512,512,2.21915735600539
"105","openmp",0,0,15,1024,1024,1024,2.73330080911737
"106","openmp",0,0,15,2048,2048,2048,4.54909411085436
"107","openmp",0,0,16,256,256,256,0.961088719767896
"108","openmp",0,0,16,512,512,512,2.36666572068616
"109","openmp",0,0,16,1024,1024,1024,2.69645337325054
"110","openmp",0,0,16,2048,2048,2048,4.55705491524392
"111","openmp",0,0,18,256,256,256,1.10301649032832
"112","openmp",0,0,18,512,512,512,2.09882709433193
"113","openmp",0,0,18,1024,1024,1024,2.67620967319142
"114","openmp",0,0,18,2048,2048,2048,4.52681485372082
"115","openmp",0,0,20,256,256,256,1.2717022383537
"116","openmp",0,0,20,512,512,512,2.14405710501443
"117","openmp",0,0,20,1024,1024,1024,2.62774160455276
"118","openmp",0,0,20,2048,2048,2048,4.51993619965681
"119","openmp",0,0,21,256,256,256,1.63806973558436
"120","openmp",0,0,21,512,512,512,2.10942666913333
"121","openmp",0,0,21,1024,1024,1024,2.64785710945213
"122","openmp",0,0,21,2048,2048,2048,4.49567001500597
"123","openmp",0,0,24,256,256,256,1.27735704404702
"124","openmp",0,0,24,512,512,512,2.21129411752171
"125","openmp",0,0,24,1024,1024,1024,2.61302635835998
"126","openmp",0,0,24,2048,2048,2048,4.49128886635037
"127","openmp",1,0,1,256,256,256,1.71670433023024
"128","openmp",1,0,1,512,512,512,2.41478622696504
"129","openmp",1,0,1,1024,1024,1024,3.30956459252432
"130","openmp",1,0,1,2048,2048,2048,4.19258375997982
"131","openmp",1,0,1,4096,4096,4096,5.21789867633758
"132","openmp",1,0,2,256,256,256,1.72991767006581
"133","openmp",1,0,2,512,512,512,2.37405328542886
"134","openmp",1,0,2,1024,1024,1024,3.27675100772842
"135","openmp",1,0,2,2048,2048,2048,3.93659340609259
"136","openmp",1,0,2,4096,4096,4096,4.94049903809623
"137","openmp",1,0,3,256,256,256,1.68575964728382
"138","openmp",1,0,3,512,512,512,2.37485644805886
"139","openmp",1,0,3,1024,1024,1024,3.27558981274798
"140","openmp",1,0,3,2048,2048,2048,3.93759025168609
"141","openmp",1,0,3,4096,4096,4096,4.93942709254042
"142","openmp",1,0,4,256,256,256,1.66115933334655
"143","openmp",1,0,4,512,512,512,2.37742828815812
"144","openmp",1,0,4,1024,1024,1024,3.27574243986861
"145","openmp",1,0,4,2048,2048,2048,3.93521061495889
"146","openmp",1,0,4,4096,4096,4096,4.66699837766568
"147","openmp",1,0,6,256,256,256,1.67453966222968
"148","openmp",1,0,6,512,512,512,2.3914009293216
"149","openmp",1,0,6,1024,1024,1024,3.29333603210116
"150","openmp",1,0,6,2048,2048,2048,3.94115654759539
"151","openmp",1,0,6,4096,4096,4096,4.67017565501948
"152","openmp",1,0,8,256,256,256,1.65618447711464
"153","openmp",1,0,8,512,512,512,2.39186449078918
"154","openmp",1,0,8,1024,1024,1024,3.29317310353754
"155","openmp",1,0,8,2048,2048,2048,3.942640570195
"156","openmp",1,0,8,4096,4096,4096,4.67314842898401
"157","openmp",1,0,9,256,256,256,1.65262340410194
"158","openmp",1,0,9,512,512,512,2.39274618223254
"159","openmp",1,0,9,1024,1024,1024,3.29409658791161
"160","openmp",1,0,9,2048,2048,2048,3.93776601089486
"161","openmp",1,0,9,4096,4096,4096,4.67475068000384
"162","openmp",1,0,12,256,256,256,1.66199242165449
"163","openmp",1,0,12,512,512,512,2.41860949786103
"164","openmp",1,0,12,1024,1024,1024,3.36440614383958
"165","openmp",1,0,12,2048,2048,2048,3.96427995338274
"166","openmp",1,0,12,4096,4096,4096,4.69352953744125
"167","openmp",1,0,15,256,256,256,1.96713126549168
"168","openmp",1,0,15,512,512,512,2.58016286719113
"169","openmp",1,0,15,1024,1024,1024,3.30694951003072
"170","openmp",1,0,15,2048,2048,2048,4.00642436509431
"171","openmp",1,0,15,4096,4096,4096,4.71033444116095
"172","openmp",1,0,16,256,256,256,1.91032018551902
"173","openmp",1,0,16,512,512,512,2.50494092379271
"174","openmp",1,0,16,1024,1024,1024,3.52137099668048
"175","openmp",1,0,16,2048,2048,2048,4.10046308134442
"176","openmp",1,0,16,4096,4096,4096,4.70983994605915
"177","openmp",1,0,18,256,256,256,1.8906612954708
"178","openmp",1,0,18,512,512,512,2.65847980021362
"179","openmp",1,0,18,1024,1024,1024,3.32044104915369
"180","openmp",1,0,18,2048,2048,2048,4.10453081170304
"181","openmp",1,0,18,4096,4096,4096,4.71170073372452
"182","openmp",1,0,20,256,256,256,2.04899306191683
"183","openmp",1,0,20,512,512,512,2.66490416514202
"184","openmp",1,0,20,1024,1024,1024,3.52249574586274
"185","openmp",1,0,20,2048,2048,2048,4.11319605730013
"186","openmp",1,0,20,4096,4096,4096,4.7109766292302
"187","openmp",1,0,21,256,256,256,1.94099931924013
"188","openmp",1,0,21,512,512,512,2.68270270988305
"189","openmp",1,0,21,1024,1024,1024,3.40423075740175
"190","openmp",1,0,21,2048,2048,2048,4.1540320182399
"191","openmp",1,0,21,4096,4096,4096,4.71098986023492
"192","openmp",1,0,24,256,256,256,2.08014286674622
"193","openmp",1,0,24,512,512,512,2.68443689691392
"194","openmp",1,0,24,1024,1024,1024,3.54386300896266
"195","openmp",1,0,24,2048,2048,2048,4.12505316898441
"196","openmp",1,0,24,4096,4096,4096,4.71066770674821
"197","openmp",1,1,1,256,256,256,1.65732361711215
"198","openmp",1,1,1,512,512,512,2.4659134967537
"199","openmp",1,1,1,1024,1024,1024,3.23960425439636
"200","openmp",1,1,1,2048,2048,2048,4.15642526585139
"201","openmp",1,1,1,4096,4096,4096,5.0579273663869
"202","openmp",1,1,2,256,256,256,1.66693896721471
"203","openmp",1,1,2,512,512,512,2.42423788145449
"204","openmp",1,1,2,1024,1024,1024,3.2416129643989
"205","openmp",1,1,2,2048,2048,2048,3.89487037595845
"206","openmp",1,1,2,4096,4096,4096,4.78286286948782
"207","openmp",1,1,3,256,256,256,1.6051110251239
"208","openmp",1,1,3,512,512,512,2.3438869405188
"209","openmp",1,1,3,1024,1024,1024,3.24013347443241
"210","openmp",1,1,3,2048,2048,2048,3.88671379371516
"211","openmp",1,1,3,4096,4096,4096,4.78681641952748
