"type","cbl","cop","cores","m","n","k","tpt"
"112","openmp",0,0,24,2053,2053,2053,3.69317097759371
"113","openmp",1,0,1,257,257,257,1.72269971974353
"114","openmp",1,0,1,509,509,509,2.3559895050323
"115","openmp",1,0,1,1021,1021,1021,3.246519014806
"116","openmp",1,0,1,2053,2053,2053,4.17077886337503
"117","openmp",1,0,2,257,257,257,1.73148400620296
"118","openmp",1,0,2,509,509,509,2.32571880655268
"119","openmp",1,0,2,1021,1021,1021,3.22934748347401
"120","openmp",1,0,2,2053,2053,2053,3.90138829462037
"121","openmp",1,0,3,257,257,257,1.73449579703627
"122","openmp",1,0,3,509,509,509,2.32488305397788
"123","openmp",1,0,3,1021,1021,1021,3.22853380931483
"124","openmp",1,0,3,2053,2053,2053,3.89235437784717
"125","openmp",1,0,4,257,257,257,1.73288407485263
"126","openmp",1,0,4,509,509,509,2.32323972105516
"127","openmp",1,0,4,1021,1021,1021,3.23080540743916
"128","openmp",1,0,4,2053,2053,2053,3.89254920462958
"129","openmp",1,0,6,257,257,257,1.73704148828704
"130","openmp",1,0,6,509,509,509,2.3434775239654
"131","openmp",1,0,6,1021,1021,1021,3.24615278020803
"132","openmp",1,0,6,2053,2053,2053,3.90733341727094
"133","openmp",1,0,8,257,257,257,1.67531081123648
"134","openmp",1,0,8,509,509,509,2.3405769608683
"135","openmp",1,0,8,1021,1021,1021,3.24685345427311
"136","openmp",1,0,8,2053,2053,2053,3.90828181804088
"137","openmp",1,0,9,257,257,257,1.69478063601206
"138","openmp",1,0,9,509,509,509,2.34358385190104
"139","openmp",1,0,9,1021,1021,1021,3.24660812539433
"140","openmp",1,0,9,2053,2053,2053,3.90471294923915
"141","openmp",1,0,12,257,257,257,1.67289179828488
"142","openmp",1,0,12,509,509,509,2.36482293050142
"143","openmp",1,0,12,1021,1021,1021,3.27583978933227
"144","openmp",1,0,12,2053,2053,2053,3.929069101162
"145","openmp",1,0,15,257,257,257,1.66787303463985
"146","openmp",1,0,15,509,509,509,2.39254747397142
"147","openmp",1,0,15,1021,1021,1021,3.33576771393292
"148","openmp",1,0,15,2053,2053,2053,3.91358313837238
"149","openmp",1,0,16,257,257,257,1.69603295050033
"150","openmp",1,0,16,509,509,509,2.3632997772951
"151","openmp",1,0,16,1021,1021,1021,3.47166422287031
"152","openmp",1,0,16,2053,2053,2053,3.92035267969075
"153","openmp",1,0,18,257,257,257,1.83667217148298
"154","openmp",1,0,18,509,509,509,2.46089032894619
"155","openmp",1,0,18,1021,1021,1021,3.25171947579148
"156","openmp",1,0,18,2053,2053,2053,4.10624469611356
"157","openmp",1,0,20,257,257,257,2.0598624366823
"158","openmp",1,0,20,509,509,509,2.64082913086139
"159","openmp",1,0,20,1021,1021,1021,3.26076546560921
"160","openmp",1,0,20,2053,2053,2053,4.10746860320115
"161","openmp",1,0,21,257,257,257,2.08320510505906
"162","openmp",1,0,21,509,509,509,2.66030945285862
"163","openmp",1,0,21,1021,1021,1021,3.31487252285719
"164","openmp",1,0,21,2053,2053,2053,4.11150497187116
"165","openmp",1,0,24,257,257,257,2.07745875236783
"166","openmp",1,0,24,509,509,509,2.64600748463467
"167","openmp",1,0,24,1021,1021,1021,3.44466361502529
"168","openmp",1,0,24,2053,2053,2053,4.11075710024267
"169","openmp",1,1,1,257,257,257,1.66718201807407
"170","openmp",1,1,1,509,509,509,2.34506382982225
"171","openmp",1,1,1,1021,1021,1021,3.23736626444108
"172","openmp",1,1,1,2053,2053,2053,4.17356292107879
"173","openmp",1,1,2,257,257,257,1.67264269421492
"174","openmp",1,1,2,509,509,509,2.35167264673619
"175","openmp",1,1,2,1021,1021,1021,3.23732854822077
"176","openmp",1,1,2,2053,2053,2053,3.90687310419449
"177","openmp",1,1,3,257,257,257,1.65595437207878
"178","openmp",1,1,3,509,509,509,2.33641570176114
"179","openmp",1,1,3,1021,1021,1021,3.25474813999787
"180","openmp",1,1,3,2053,2053,2053,3.90090919398821
